repetition,fit_succeeded,singular,contrast,estimate,scale
64,TRUE,FALSE,Thematic vs Control,0.4011622101240968,log_odds
64,TRUE,FALSE,Grounding vs Control,0.30352151527476,probability
64,TRUE,FALSE,Grounding vs Thematic,0.20909445637024582,probability
64,TRUE,FALSE,Thematic vs Control,0.0944270589045142,probability
65,TRUE,FALSE,Grounding vs Control,1.7063462844740387,log_odds
65,TRUE,FALSE,Grounding vs Thematic,0.9018532193274529,log_odds
65,TRUE,FALSE,Thematic vs Control,0.8044930651465858,log_odds
65,TRUE,FALSE,Grounding vs Control,0.31990672192036057,probability
65,TRUE,FALSE,Grounding vs Thematic,0.12947059818013135,probability
65,TRUE,FALSE,Thematic vs Control,0.19043612374022922,probability
66,TRUE,FALSE,Grounding vs Control,2.081500131206986,log_odds
66,TRUE,FALSE,Grounding vs Thematic,1.3142210244089463,log_odds
66,TRUE,FALSE,Thematic vs Control,0.7672791067980398,log_odds
66,TRUE,FALSE,Grounding vs Control,0.42243411591837876,probability
66,TRUE,FALSE,Grounding vs Thematic,0.23762356160291398,probability
66,TRUE,FALSE,Thematic vs Control,0.18481055431546478,probability
67,TRUE,FALSE,Grounding vs Control,1.7223303196725377,log_odds
67,TRUE,FALSE,Grounding vs Thematic,0.9874225646384682,log_odds
